Episode,Reward,Wins,Losses,Epsilon
235,-13.556518291625485,40,73,0.09994334856146549
236,100.0,41,73,0.09994334856146549
237,100.0,42,73,0.09994334856146549
238,100.0,43,73,0.09994334856146549
239,-100.0,43,74,0.09994334856146549
240,100.0,44,74,0.09994334856146549
241,-5.617676619702051,44,74,0.09994334856146549
242,100.0,45,74,0.09994334856146549
243,-7.421510125963418,45,74,0.09994334856146549
244,-100.0,45,75,0.09994334856146549
245,-6.609327191004944,45,75,0.09994334856146549
246,100.0,46,75,0.09994334856146549
247,-100.0,46,76,0.09994334856146549
248,100.0,47,76,0.09994334856146549
249,-100.0,47,77,0.09994334856146549
250,100.0,48,77,0.09994334856146549
251,-7.185591499626736,48,77,0.09994334856146549
252,-18.445597861275377,48,77,0.09994334856146549
253,100.0,49,77,0.09994334856146549
254,100.0,50,77,0.09994334856146549
255,-10.804089795120163,50,77,0.09994334856146549
256,-100.0,50,78,0.09994334856146549
257,-100.0,50,79,0.09994334856146549
258,100.0,51,79,0.09994334856146549
259,-100.0,51,80,0.09994334856146549
260,100.0,52,80,0.09994334856146549
261,100.0,53,80,0.09994334856146549
262,-100.0,53,81,0.09994334856146549
263,100.0,54,81,0.09994334856146549
264,-100.0,54,82,0.09994334856146549
265,100.0,55,82,0.09994334856146549
266,-4.077759217756889,55,82,0.09994334856146549
267,-10.660602650816154,55,82,0.09994334856146549
268,-100.0,55,83,0.09994334856146549
269,-11.142947088740197,55,83,0.09994334856146549
270,-100.0,55,84,0.09994334856146549
271,-100.0,55,85,0.09994334856146549
272,-100.0,55,86,0.09994334856146549
273,-100.0,55,87,0.09994334856146549
274,-5.260941684777784,55,87,0.09994334856146549
275,-100.0,55,88,0.09994334856146549
276,100.0,56,88,0.09994334856146549
277,-8.490011938417203,56,88,0.09994334856146549
278,100.0,57,88,0.09994334856146549
279,100.0,58,88,0.09994334856146549
280,-10.296850804330377,58,88,0.09994334856146549
281,-10.041401367452815,58,88,0.09994334856146549
282,-5.693570985310066,58,88,0.09994334856146549
283,-100.0,58,89,0.09994334856146549
284,-100.0,58,90,0.09994334856146549
285,-100.0,58,91,0.09994334856146549
286,-100.0,58,92,0.09994334856146549
287,-12.931985068131802,58,92,0.09994334856146549
288,-100.0,58,93,0.09994334856146549
289,-100.0,58,94,0.09994334856146549
290,100.0,59,94,0.09994334856146549
291,-100.0,59,95,0.09994334856146549
292,-100.0,59,96,0.09994334856146549
293,-5.343572848511268,59,96,0.09994334856146549
294,-7.785286954918719,59,96,0.09994334856146549
295,-100.0,59,97,0.09994334856146549
296,100.0,60,97,0.09994334856146549
297,-100.0,60,98,0.09994334856146549
298,-100.0,60,99,0.09994334856146549
299,-100.0,60,100,0.09994334856146549
300,-5.718896653923892,60,100,0.09994334856146549
301,100.0,61,100,0.09994334856146549
302,100.0,62,100,0.09994334856146549
303,-19.103886485338833,62,100,0.09994334856146549
304,-100.0,62,101,0.09994334856146549
305,-100.0,62,102,0.09994334856146549
306,-9.252365731860994,62,102,0.09994334856146549
307,-100.0,62,103,0.09994334856146549
308,100.0,63,103,0.09994334856146549
309,100.0,64,103,0.09994334856146549
310,-100.0,64,104,0.09994334856146549
311,-100.0,64,105,0.09994334856146549
312,-100.0,64,106,0.09994334856146549
313,100.0,65,106,0.09994334856146549
314,-100.0,65,107,0.09994334856146549
315,100.0,66,107,0.09994334856146549
316,-6.757247575602051,66,107,0.09994334856146549
317,100.0,67,107,0.09994334856146549
318,-5.295217564474257,67,107,0.09994334856146549
319,100.0,68,107,0.09994334856146549
320,-6.5069640182802,68,107,0.09994334856146549
321,-100.0,68,108,0.09994334856146549
322,100.0,69,108,0.09994334856146549
323,-18.284394455603607,69,108,0.09994334856146549
324,-100.0,69,109,0.09994334856146549
325,100.0,70,109,0.09994334856146549
326,-100.0,70,110,0.09994334856146549
327,100.0,71,110,0.09994334856146549
328,-8.59692486738164,71,110,0.09994334856146549
329,100.0,72,110,0.09994334856146549
330,-100.0,72,111,0.09994334856146549
331,-100.0,72,112,0.09994334856146549
332,-100.0,72,113,0.09994334856146549
333,100.0,73,113,0.09994334856146549
334,100.0,74,113,0.09994334856146549
335,-17.220469510350643,74,113,0.09994334856146549
336,-10.818267983775527,74,113,0.09994334856146549
337,-100.0,74,114,0.09994334856146549
338,100.0,75,114,0.09994334856146549
339,-100.0,75,115,0.09994334856146549
340,-13.29821779169292,75,115,0.09994334856146549
341,-5.949863354203133,75,115,0.09994334856146549
342,-6.584744828139812,75,115,0.09994334856146549
343,-100.0,75,116,0.09994334856146549
344,-8.228844556111238,75,116,0.09994334856146549
345,-16.931535453370586,75,116,0.09994334856146549
346,100.0,76,116,0.09994334856146549
347,100.0,77,116,0.09994334856146549
348,-5.216450439109234,77,116,0.09994334856146549
349,-5.805653912548597,77,116,0.09994334856146549
350,100.0,78,116,0.09994334856146549
351,-7.122317957922409,78,116,0.09994334856146549
352,-10.20969901275415,78,116,0.09994334856146549
353,-5.839895651886847,78,116,0.09994334856146549
354,-10.367416396737845,78,116,0.09994334856146549
355,-16.394113350641696,78,116,0.09994334856146549
356,100.0,79,116,0.09994334856146549
