Episode,Reward,Wins,Losses,Epsilon
99,-14.219711673934484,3,16,0.00998645168764533
100,-100.0,3,17,0.00998645168764533
101,-8.188993086753458,3,17,0.00998645168764533
102,-13.874189069132338,3,17,0.00998645168764533
103,-12.645760140797213,3,17,0.00998645168764533
104,-17.1407318140634,3,17,0.00998645168764533
105,-100.0,3,18,0.00998645168764533
106,100.0,4,18,0.00998645168764533
107,-8.181814028369981,4,18,0.00998645168764533
108,-6.157114535851205,4,18,0.00998645168764533
109,-8.39749521216882,4,18,0.00998645168764533
110,-6.453657570303773,4,18,0.00998645168764533
111,-8.656517144306276,4,18,0.00998645168764533
112,-13.862882233335197,4,18,0.00998645168764533
113,100.0,5,18,0.00998645168764533
114,-11.21520173153479,5,18,0.00998645168764533
115,-6.593752004420109,5,18,0.00998645168764533
116,-6.131233699118708,5,18,0.00998645168764533
117,-100.0,5,19,0.00998645168764533
118,100.0,6,19,0.00998645168764533
119,-6.5820826914001564,6,19,0.00998645168764533
120,-100.0,6,20,0.00998645168764533
121,-14.177425888049605,6,20,0.00998645168764533
122,-9.218122867621751,6,20,0.00998645168764533
123,-100.0,6,21,0.00998645168764533
124,-100.0,6,22,0.00998645168764533
125,-15.548251543191782,6,22,0.00998645168764533
126,-6.5,6,22,0.00998645168764533
127,-6.342253423016787,6,22,0.00998645168764533
128,-100.0,6,23,0.00998645168764533
129,-100.0,6,24,0.00998645168764533
130,-11.86507908671572,6,24,0.00998645168764533
131,-11.98312665825685,6,24,0.00998645168764533
132,-14.934545467341017,6,24,0.00998645168764533
133,-8.0,6,24,0.00998645168764533
134,-8.529583095223742,6,24,0.00998645168764533
135,-100.0,6,25,0.00998645168764533
136,-15.124700527075978,6,25,0.00998645168764533
137,-100.0,6,26,0.00998645168764533
138,-8.170686206423616,6,26,0.00998645168764533
139,-10.250328689236149,6,26,0.00998645168764533
140,100.0,7,26,0.00998645168764533
141,-7.42598878181734,7,26,0.00998645168764533
142,-4.233399465979124,7,26,0.00998645168764533
143,-100.0,7,27,0.00998645168764533
144,-12.574332222683683,7,27,0.00998645168764533
145,-4.952030221415926,7,27,0.00998645168764533
146,-9.285163565869853,7,27,0.00998645168764533
147,-12.665136976039955,7,27,0.00998645168764533
148,-12.153028407561678,7,27,0.00998645168764533
149,-8.299803640974499,7,27,0.00998645168764533
150,-13.97670618650915,7,27,0.00998645168764533
151,-6.693501394966524,7,27,0.00998645168764533
152,-2.7319967186059837,7,27,0.00998645168764533
153,-12.83658697393104,7,27,0.00998645168764533
154,-7.377797353977108,7,27,0.00998645168764533
155,-11.896464818542128,7,27,0.00998645168764533
156,-17.89122419507598,7,27,0.00998645168764533
157,-5.683673460513289,7,27,0.00998645168764533
158,-12.733519892332119,7,27,0.00998645168764533
159,-6.876990031355894,7,27,0.00998645168764533
160,100.0,8,27,0.00998645168764533
161,-100.0,8,28,0.00998645168764533
162,-5.597997436740466,8,28,0.00998645168764533
163,-5.65,8,28,0.00998645168764533
164,100.0,9,28,0.00998645168764533
165,-7.6421876531308595,9,28,0.00998645168764533
166,-100.0,9,29,0.00998645168764533
167,-13.648747665494597,9,29,0.00998645168764533
168,-13.35836043380613,9,29,0.00998645168764533
169,-100.0,9,30,0.00998645168764533
170,-16.12526353573262,9,30,0.00998645168764533
171,100.0,10,30,0.00998645168764533
172,-7.6371345695290795,10,30,0.00998645168764533
173,100.0,11,30,0.00998645168764533
174,-7.772436226800539,11,30,0.00998645168764533
175,-13.61511576538233,11,30,0.00998645168764533
176,-7.016095089944804,11,30,0.00998645168764533
177,-15.274092436392694,11,30,0.00998645168764533
178,-8.645141233983477,11,30,0.00998645168764533
179,-100.0,11,31,0.00998645168764533
180,-15.080495707444054,11,31,0.00998645168764533
181,-100.0,11,32,0.00998645168764533
182,-6.0389595278507535,11,32,0.00998645168764533
183,-13.396031900397592,11,32,0.00998645168764533
184,-100.0,11,33,0.00998645168764533
185,-14.171583628031655,11,33,0.00998645168764533
186,-12.019661712222595,11,33,0.00998645168764533
187,-10.91338966730897,11,33,0.00998645168764533
188,-10.297252083674845,11,33,0.00998645168764533
189,-14.924432701338764,11,33,0.00998645168764533
190,-9.254429061143792,11,33,0.00998645168764533
191,-3.9128850724949507,11,33,0.00998645168764533
192,-100.0,11,34,0.00998645168764533
193,-10.947296547190707,11,34,0.00998645168764533
194,-100.0,11,35,0.00998645168764533
195,-4.472396634671745,11,35,0.00998645168764533
196,-7.365201731534791,11,35,0.00998645168764533
197,-7.4630582186931935,11,35,0.00998645168764533
198,-100.0,11,36,0.00998645168764533
199,-14.744103231021931,11,36,0.00998645168764533
200,-11.27618490068394,11,36,0.00998645168764533
201,100.0,12,36,0.00998645168764533
202,-15.74916391243388,12,36,0.00998645168764533
203,100.0,13,36,0.00998645168764533
204,100.0,14,36,0.00998645168764533
205,-6.27573881406563,14,36,0.00998645168764533
206,-6.532082395472504,14,36,0.00998645168764533
207,-100.0,14,37,0.00998645168764533
208,-12.711854247564526,14,37,0.00998645168764533
209,-13.265166986805315,14,37,0.00998645168764533
210,-7.6189590441260835,14,37,0.00998645168764533
211,-16.052185528774547,14,37,0.00998645168764533
212,-5.445205746818923,14,37,0.00998645168764533
213,-100.0,14,38,0.00998645168764533
214,-100.0,14,39,0.00998645168764533
215,-12.388955004851102,14,39,0.00998645168764533
216,-7.298228609004775,14,39,0.00998645168764533
217,-7.62243622680054,14,39,0.00998645168764533
218,-16.95,14,39,0.00998645168764533
219,100.0,15,39,0.00998645168764533
220,-13.517510089020883,15,39,0.00998645168764533
221,-100.0,15,40,0.00998645168764533
222,-16.610317292931363,15,40,0.00998645168764533
223,-16.65,15,40,0.00998645168764533
224,-12.27879370373835,15,40,0.00998645168764533
225,-100.0,15,41,0.00998645168764533
226,-14.263107529154485,15,41,0.00998645168764533
227,-15.659133765980128,15,41,0.00998645168764533
228,-19.440064427775987,15,41,0.00998645168764533
229,-100.0,15,42,0.00998645168764533
230,-100.0,15,43,0.00998645168764533
231,-7.342970262308744,15,43,0.00998645168764533
232,-7.81449937195023,15,43,0.00998645168764533
233,-11.042319249522183,15,43,0.00998645168764533
234,-16.079103574409253,15,43,0.00998645168764533
235,-13.894880725257082,15,43,0.00998645168764533
236,100.0,16,43,0.00998645168764533
237,-6.267657050380906,16,43,0.00998645168764533
238,-12.576525659747922,16,43,0.00998645168764533
239,-100.0,16,44,0.00998645168764533
240,-5.785120734275059,16,44,0.00998645168764533
241,-100.0,16,45,0.00998645168764533
242,-100.0,16,46,0.00998645168764533
243,-6.662462097652051,16,46,0.00998645168764533
244,-8.89060286119386,16,46,0.00998645168764533
245,-5.7270302214159265,16,46,0.00998645168764533
246,-16.804944331327118,16,46,0.00998645168764533
247,-10.062900728183974,16,46,0.00998645168764533
248,-15.33257794502779,16,46,0.00998645168764533
249,-2.58624242669498,16,46,0.00998645168764533
250,-8.504655920445938,16,46,0.00998645168764533
251,100.0,17,46,0.00998645168764533
252,-12.042670725407344,17,46,0.00998645168764533
253,100.0,18,46,0.00998645168764533
254,-100.0,18,47,0.00998645168764533
255,-8.966310946467724,18,47,0.00998645168764533
256,-15.777175732275484,18,47,0.00998645168764533
257,-17.77928410952114,18,47,0.00998645168764533
258,100.0,19,47,0.00998645168764533
259,-12.947737852009757,19,47,0.00998645168764533
260,-10.012180489244912,19,47,0.00998645168764533
261,-5.286093129930494,19,47,0.00998645168764533
262,-100.0,19,48,0.00998645168764533
263,-16.21738244190731,19,48,0.00998645168764533
264,-15.94145089088878,19,48,0.00998645168764533
265,-4.382082395472503,19,48,0.00998645168764533
266,-16.212372109570815,19,48,0.00998645168764533
267,-100.0,19,49,0.00998645168764533
268,100.0,20,49,0.00998645168764533
269,-100.0,20,50,0.00998645168764533
270,-5.1714638319572614,20,50,0.00998645168764533
271,-7.36888517042222,20,50,0.00998645168764533
272,100.0,21,50,0.00998645168764533
273,-5.910786223998528,21,50,0.00998645168764533
274,-8.075,21,50,0.00998645168764533
275,-12.571331575442574,21,50,0.00998645168764533
276,-15.076525659747922,21,50,0.00998645168764533
277,-11.813188635186346,21,50,0.00998645168764533
278,-7.098315230497796,21,50,0.00998645168764533
279,-13.567636836112673,21,50,0.00998645168764533
280,-17.866654022156833,21,50,0.00998645168764533
281,-12.271060181343039,21,50,0.00998645168764533
282,-3.368501046269995,21,50,0.00998645168764533
283,-14.304993756214971,21,50,0.00998645168764533
284,-5.6501560549921255,21,50,0.00998645168764533
285,-14.792997755296952,21,50,0.00998645168764533
286,-100.0,21,51,0.00998645168764533
287,-13.75216305095652,21,51,0.00998645168764533
288,-14.928074023702314,21,51,0.00998645168764533
